Title,Genre,parent_genre_str,main_parent_genre,metadata,poster,year_premiere,IMDB Score,Runtime,runtime_normalized,primary_language_capitalized,Premiere,Director,Plot
what would sophia loren do?,documentary,documentary,documentary,movie title is what would sophia loren do?. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BZDJiMWRlZDMtYjQ5YS00NDE0LTkwMzUtZDczODE2ZTVlYWIyXkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.6,32,0.13658536585365855,English,"January 15, 2021",Ross Kauffman,"An Italian-American grandmother and film buff finds strength and joy in the life of her screen idol, Sophia Loren."
a whisker away,"anime, fantasy","fantasy, animation",fantasy,"movie title is a whisker away. genre is fantasy, animation. language is japanese.",https://m.media-amazon.com/images/M/MV5BZjEyNGY0MTYtYjE4ZC00MDI1LWJmNjgtMzA2MjhhOGY2ZDhjXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.7,104,0.4878048780487805,Japanese,"June 18, 2020","Jun'ichi Satô, Tomotaka Shibayama","Miyo Sasaki is in love with her classmate Kento Hinode and tries repeatedly to get Kento's attention by transforming into a cat, but at some point, the boundary between herself and the cat becomes ambiguous."
ajeeb daastaans,drama,drama,drama,movie title is ajeeb daastaans. genre is drama. language is hindi.,https://m.media-amazon.com/images/M/MV5BZTljZWJlNjYtMGQ2Yi00ODcyLTk1OWUtYzg1YmE5YmE2NTJlXkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.7,142,0.673170731707317,Hindi,"April 16, 2021","Neeraj Ghaywan, Kayoze Irani, Rahul Kamboj",Four shorts explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.
arlo the alligator boy,animated musical comedy,"comedy, musical, animation",comedy,"movie title is arlo the alligator boy. genre is comedy, musical, animation. language is english.",https://m.media-amazon.com/images/M/MV5BNDQ4OTExZWItMDJiZi00ZDFiLWE3ZjItMmYzZmExODlkMDk3XkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.7,92,0.4292682926829268,English,"April 16, 2021",Ryan Crego,"A young humanoid alligator travels to the big city in hopes of reuniting with his estranged father, meeting a colorful cast of characters along the way."
"bikram: yogi, guru, predator",documentary,documentary,documentary,"movie title is bikram: yogi, guru, predator. genre is documentary. language is english.",https://m.media-amazon.com/images/M/MV5BNzE2NjhhNmItMTk2OS00NzI4LWE4ZTMtYWE5ZDRmZDM1NDkwXkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.7,86,0.39999999999999997,English,"November 20, 2019",Eva Orner,Tracing from his rise in the 1970s to his disgrace in accusations of rape and sexual harassment in more recent years.
blame!,"anime, science fiction","scifi, animation",scifi,"movie title is blame!. genre is scifi, animation. language is japanese.",https://m.media-amazon.com/images/M/MV5BNTgxNDI1NzgyNl5BMl5BanBnXkFtZTgwMTgzNTIzMjI@._V1_SX300.jpg,2017.0,6.7,106,0.4975609756097561,Japanese,"May 20, 2017",Hiroyuki Seshita,"In the distant future, humans are declared ""illegal residents"" and hunted to near extinction by murderous robots. One day, a group of human scavengers come across a strange man named Killy, who may be the key to humanity's survival."
blue miracle,drama,drama,drama,movie title is blue miracle. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BY2M2ZDI2OWEtNWZmMS00MzNjLWE3MjQtNDM4Yzc0ZTQyZjQ2XkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.7,95,0.44390243902439025,English,"May 27, 2021",Julio Quintana,"To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition."
"crack: cocaine, corruption & conspiracy",documentary,documentary,documentary,"movie title is crack: cocaine, corruption & conspiracy. genre is documentary. language is english.",https://m.media-amazon.com/images/M/MV5BMzE5NDAwZDctYzdjMi00MmZlLWIxYjktYTJlOTgxM2FmY2E5XkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.7,89,0.4146341463414634,English,"January 11, 2021",Stanley Nelson,"In the early 1980s, the crack epidemic tore through America’s inner cities like a tsunami, ravaging all in its wake."
extraction,action,action,action,movie title is extraction. genre is action. language is english.,https://m.media-amazon.com/images/M/MV5BNDBhMmI3OWYtZTA2Ny00Y2RjLTliMWQtYWY5MGIwN2RlZGFjXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.7,117,0.5512195121951219,English,"April 24, 2020",Sam Hargrave,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord."
giving voice,documentary,documentary,documentary,movie title is giving voice. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMjMzNDgyNTgtYjcyZC00M2ZmLTk1YmMtZWUxNTU0YmIyY2UwXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.7,90,0.4195121951219512,English,"December 11, 2020","James D. Stern, Fernando Villena",This film follows the annual August Wilson Monologue competition and the thousands of high schoolers who enter the competition for the opportunity to perform on Broadway.
hillbilly elegy,drama,drama,drama,movie title is hillbilly elegy. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BMWY0MThlOTgtNTg5ZS00ZTlkLTg2ZjAtMDE4YzAyNjExMjFkXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.7,117,0.5512195121951219,English,"November 24, 2020",Ron Howard,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future."
imperial dreams,drama,drama,drama,movie title is imperial dreams. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BNWU0OGIzMDAtNWE4MC00NGVjLWJlMDItYTczNmJiYzFkMjA5XkEyXkFqcGc@._V1_SX300.jpg,2017.0,6.7,87,0.4048780487804878,English,"February 3, 2017",Malik Vitthal,"A 21-year-old reformed gangster's devotion to his family and his future is put to the test when he is released from prison and returns to his old stomping grounds in Watts, Los Angeles."
just another christmas,comedy,comedy,comedy,movie title is just another christmas. genre is comedy. language is portuguese.,https://m.media-amazon.com/images/M/MV5BZGNjNDgxYjUtMzcxYy00N2Y5LWEwNWQtMGJjMzgzNmFmMWJhXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.7,101,0.47317073170731705,Portuguese,"December 3, 2020",Roberto Santucci,"Stuck in a time loop where it's forever Christmas, a family man who hates the holiday starts to learn valuable lessons about what's important in life."
little miss sumo,documentary,documentary,documentary,movie title is little miss sumo. genre is documentary. language is japanese.,https://m.media-amazon.com/images/M/MV5BNzE3MjI5YTgtMDhiOS00MDQ0LWFkNjQtNjVjYjQ5MGQ3Mjg5XkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.7,19,0.07317073170731707,Japanese,"October 28, 2019",Matt Kay,A female sumo wrestler fights against tradition and stigma to win her place in the ring.
malcolm & marie,romantic drama,"drama, romance",drama,"movie title is malcolm & marie. genre is drama, romance. language is english.",https://m.media-amazon.com/images/M/MV5BZTc5ZDZjMzMtMDk4MC00N2NlLTg2MjAtOGI5OTcxNzZhMGNlXkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.7,106,0.4975609756097561,English,"February 5, 2021",Sam Levinson,A director and his girlfriend's relationship is tested after they return home from his movie premiere and face each other's turmoil during one long night.
"michael bolton's big, sexy, valentine's day special",variety show,other,other,"movie title is michael bolton's big, sexy, valentine's day special. genre is other. language is english.",https://m.media-amazon.com/images/M/MV5BMDgwZWU1ODUtMjEyNS00ZTAyLThjZWMtZTE3OTE0ZmJkNTY3XkEyXkFqcGc@._V1_SX300.jpg,2017.0,6.7,54,0.24390243902439027,English,"February 7, 2017","Scott Aukerman, Akiva Schaffer","After Santa tells Michael Bolton that he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a sexy telethon to get the world to start making love."
moxie,drama,drama,drama,movie title is moxie. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BZTQ0NzIzYmEtZWQyYS00NGQ3LTlkNTctNWIxODIwZTkyOTI0XkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.7,111,0.5219512195121951,English,"March 3, 2021",Amy Poehler,"Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school."
night in paradise,drama,drama,drama,movie title is night in paradise. genre is drama. language is korean.,https://m.media-amazon.com/images/M/MV5BZWFkN2RmMjQtZDc2Yy00MDgwLTk1ZmItYjFiNGRiN2I2MWE1XkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.7,132,0.624390243902439,Korean,"April 9, 2021",Park Hoon-jung,"Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons."
paper lives,drama,drama,drama,movie title is paper lives. genre is drama. language is turkish.,https://m.media-amazon.com/images/M/MV5BZTQ4NjZmMzctZDUxZC00YzczLWJkYTItMDM4ZTM0OThmMjM1XkEyXkFqcGc@._V1_SX300.jpg,2021.0,6.7,97,0.4536585365853658,Turkish,"March 12, 2021",Can Ulkay,"Mehmet is a cherished fellow who runs the solid waste warehouse in the neighborhood, he helps everyone in need, especially homeless children and teenagers since he was one too."
parchis: the documentary,documentary,documentary,documentary,movie title is parchis: the documentary. genre is documentary. language is spanish.,https://m.media-amazon.com/images/M/MV5BMWE1M2M0ZWYtNGI5Ni00ZWZkLTk3NmItOWEwNTI1ZmQxODk0XkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.7,106,0.4975609756097561,Spanish,"July 10, 2019",Daniel Arasanz,"A documentary about the rise and fall of the Spanish children's music group, Parchis."
tallulah,"comedy, drama","comedy, drama",comedy,"movie title is tallulah. genre is comedy, drama. language is english.",https://m.media-amazon.com/images/M/MV5BMGNkNmVhMmYtNzE5YS00MmIwLTk5N2ItZDIzNDZmMWRlOTJhXkEyXkFqcGc@._V1_SX300.jpg,2016.0,6.7,111,0.5219512195121951,English,"July 29, 2016",Sian Heder,"Desperate to be rid of her toddler, a dissatisfied Manhattan housewife hires a stranger to babysit and ends up getting much more than she bargained for."
the old guard,"superhero, action",action,action,movie title is the old guard. genre is action. language is english.,https://m.media-amazon.com/images/M/MV5BYzMwNjVjNTEtZDVhOC00NzQzLTg0MGYtMGI1Yzc0Nzg2MjNmXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.7,124,0.5853658536585366,English,"July 10, 2020",Gina Prince-Bythewood,"A covert group of tight-knit mercenaries with an inability to die have fought to protect the world for centuries. But when their abilities are suddenly exposed, they need to eliminate the threat of those who seek to replicate thei..."
tony robbins: i am not your guru,documentary,documentary,documentary,movie title is tony robbins: i am not your guru. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMzM3NTAwMjAxMl5BMl5BanBnXkFtZTgwMjU0ODkxOTE@._V1_SX300.jpg,2016.0,6.7,116,0.5463414634146341,English,July 15. 2016,Joe Berlinger,"TONY ROBBINS: I AM NOT YOUR GURU, a feature documentary film about internationally renowned life and business strategist Tony Robbins, is a revelatory cinéma vérité film that goes behind the scenes of his mammoth seminar ""Date Wit..."
upstarts,drama,drama,drama,movie title is upstarts. genre is drama. language is hindi.,https://m.media-amazon.com/images/M/MV5BYWU4ZmE0YjgtMGQ0Ny00ZjE0LTliZTMtOWYwNTBkMTc1YmExXkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.7,112,0.526829268292683,Hindi,"October 18, 2019",Udai Singh Pawar,"Hoping to do good while making millions, three graduates create a startup. But as business begins to flourish, their own bond starts to fray."
22 july,drama,drama,drama,movie title is 22 july. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BMWMyMmUwYTktNmNjYS00YzU2LWJmYTQtMzRiZDc3ZGY0Njk0XkEyXkFqcGc@._V1_SX300.jpg,2018.0,6.8,144,0.6829268292682926,English,"October 10, 2018",Paul Greengrass,"A three-part story of Norway's worst terrorist attack in which over seventy people were killed. 22 July looks at the disaster itself, the survivors, Norway's political system and the lawyers who worked on this horrific case."
7 años,drama,drama,drama,movie title is 7 años. genre is drama. language is spanish.,https://m.media-amazon.com/images/M/MV5BMjIxODAwOTkzMF5BMl5BanBnXkFtZTcwMDcyMjA1OQ@@._V1_SX300.jpg,2016.0,6.8,76,0.35121951219512193,Spanish,"October 28, 2016",Joel Núñez Arocha,"Conocer la pareja de tu vida es sólo obra del destino! Pero una cosa es casarse y otra, controlarse. Así que para sobrevivir la crisis del matrimonio, te diremos cómo lograrlo. Esta divertida comedia te enseñará que en el amor; TO..."
a futile and stupid gesture,"biographical, comedy","comedy, drama",comedy,"movie title is a futile and stupid gesture. genre is comedy, drama. language is english.",https://m.media-amazon.com/images/M/MV5BMTg3OTQyODAwOF5BMl5BanBnXkFtZTgwMDY1MDM0NDM@._V1_SX300.jpg,2018.0,6.8,101,0.47317073170731705,English,"January 26, 2018",David Wain,"In the 1970s and '80s, National Lampoon's success and influence creates a new media empire overseen in part by the brilliant and troubled Douglas Kenney."
a love song for latasha,documentary,documentary,documentary,movie title is a love song for latasha. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMWJhZGM0MDktMjk4MC00YWJiLTlmNTgtMGE0NzA0Mjg5YzlkXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.8,19,0.07317073170731707,English,"September 21, 2020",Sophia Nahli Allison,The injustice surrounding the shooting death of 15-year-old Latasha Harlins at a South Central Los Angeles store became a flashpoint for the city’s 1992 civil uprising.
always be my maybe,romantic comedy,"comedy, romance",comedy,"movie title is always be my maybe. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BZjUxMDEzMWItN2Y2OS00ZTNmLThhYTEtZDAzYWFiMzQ0MTlkXkEyXkFqcGc@._V1_SX300.jpg,2019.0,6.8,102,0.47804878048780486,English,"May 31, 2019",Nahnatchka Khan,"Everyone assumed that Sasha and Marcus would wind up together, except for Sasha and Marcus. Reconnecting after 15 years, the two start to wonder--maybe?"
becoming,documentary,documentary,documentary,movie title is becoming. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BODg0NjU1MTYtMWJiYy00ODY5LWI2ZmEtOTMxYzMyYzRlNTc2XkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.8,89,0.4146341463414634,English,"May 6, 2020",Nadia Hallgren,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others during her 2019 book tour for 'Becoming.'"
calibre,thriller,thriller,thriller,movie title is calibre. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BMTZhMzBmZTktNmMzOS00ZDY0LThhYWItOTMyMmVmMGM0NmU2XkEyXkFqcGc@._V1_SX300.jpg,2018.0,6.8,101,0.47317073170731705,English,"June 29, 2018",Matt Palmer,A shocking deed turned their weekend trip into a nightmare. Now their only hope is to swallow their paranoia and act normal.
death to 2020,comedy,comedy,comedy,movie title is death to 2020. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BOTkzZjY3ZWEtYWEzMy00YmI0LWE5YzMtZTRiNWVmZWIwOTY2XkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.8,70,0.32195121951219513,English,"December 27, 2020","Al Campbell, Alice Mathias","In mockumentary format, characters discuss events of 2020 with a mixture of true information and satire. The overarching topic is the COVID-19 pandemic, particularly in the US and UK."
gims: on the record,documentary,documentary,documentary,movie title is gims: on the record. genre is documentary. language is french.,https://m.media-amazon.com/images/M/MV5BZGI5YzI4NWUtMGZkNC00NmM5LWE3MTctZGU5ZTg2N2EwZGVkXkEyXkFqcGc@._V1_SX300.jpg,2020.0,6.8,96,0.448780487804878,French,"September 17, 2020",Florent Bodin,Go backstage with beloved rap superstar Gims in the year leading up to his major 2019 Stade de France performance in this up-close documentary.
heroin(e),documentary,documentary,documentary,movie title is heroin(e). genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMTZlZDBmMDMtZTJhZi00YTA1LTk0OTAtYTQ4NDRhZWExZjI4XkEyXkFqcGc@._V1_SX300.jpg,2017.0,6.8,39,0.17073170731707318,English,"September 12, 2017",Elaine McMillion Sheldon,Three women fight to break the cycle one life at a time.
